"probe" "x" "y" "rads" "angs" "azAngs" "angs_azAng"
1 -0.0472515067151135 -0.507139203782144 0.50933572120914 2.00573189598967 1.47789188991219 0.527840006077476
2 0.238443365314405 -0.799693277437145 0.834484617258234 3.43136835033355 1.86057202353866 1.5707963267949
3 -0.333868146614391 0.75071053693055 0.821604679625356 0.418467928697493 -1.1523283980974 1.5707963267949
4 0.710997850915826 -0.441980306205365 0.837176525638597 4.18964398935354 2.58541762893044 1.6042263604231
5 0.168981110989444 -0.73029408807948 0.749589268169619 -1.50000216852969 1.79818234763823 2.98500079101167
6 -0.355189199889822 -0.209336150758536 0.412287511007516 0.636387240608684 0.532563087984558 0.103824152624126
7 0.453380160317516 0.381654446583289 0.592632842800948 -0.871083345329208 3.84130563505548 1.5707963267949
8 0.493509422479547 -0.328410883670274 0.592794448851528 3.78651421781521 2.55442575477162 1.23208846304358
9 0.377460538506317 -0.454697491471162 0.590953692669439 3.51527938563771 2.26364439840096 1.25163498723674
10 0.29863741517542 -0.656690908090531 0.721406441966956 3.3781429169949 1.99760244381712 1.38054047317778
11 -0.730588723880788 0.308492503342262 0.793049499136173 1.91373372128813 -0.399540712142951 2.31327443343109
12 -0.160828287596379 0.388075370210549 0.42008121959359 -0.522394321008883 -1.17791645036535 0.655522129356464
13 -0.0714955429444826 -0.136817627745237 0.154371875426713 1.84924251372195 1.08926332510398 0.759979188617977
14 -0.301418617644386 0.191509188137851 0.357111960320389 1.69740810637515 -0.566014197654688 2.26342230402984
15 -0.025638910131419 0.341335429903627 0.342296990083496 -1.35342330141016 -1.49582358193628 0.142400280526123
16 -0.0710381563319288 0.0775219139509325 0.1051478330621 1.13089259229577 -0.829014496855666 1.95990708915143
17 0.136286434201071 -0.280560550149984 0.311910587264531 3.22476293378294 2.02299104475997 1.20177188902298
18 0.062252834184006 -0.199942088092875 0.209409297680118 3.74786157962693 1.87263710977793 1.875224469849
19 0.0721882670713642 0.0949848471584786 0.119303256839393 -0.510613849870689 4.0625199775665 1.7100514797424
20 -0.543941823832374 0.475904288877637 0.722743107809558 1.8732062374783 -0.718783343091369 2.59198958056967
21 0.625900324604924 0.363267437652617 0.723681178143557 -1.04491938154359 3.6674695988411 1.5707963267949
